session_id,administrative,administrative_duration,informational,informational_duration,productrelated,productrelated_duration,bouncerates,exitrates,pagevalues,specialday,month,operatingsystems,browser,region,traffictype,visitortype,weekend,revenue
139957,2,47.5,0,0,19,1203.480714,0,0.027421222,6.74850856,0,Nov,2,2,3,2,Returning_Visitor,FALSE,0
496587,0,0,0,0,7,152,0,0.033333333,0,0,Dec,3,2,6,3,Returning_Visitor,FALSE,0
440268,7,206.5,1,389.9,95,4415.889952,0.000132986,0.033750056,2.676061563,0,Nov,2,2,1,20,Returning_Visitor,FALSE,0
294672,1,18.25857143,0,0,103,8305.048706,0.004870751,0.034746107,6.824907715,0,Nov,2,2,1,2,Returning_Visitor,TRUE,1
497475,0,0,0,0,42,1305.108333,0.016068006,0.039742145,0,0,Dec,3,2,5,2,Returning_Visitor,FALSE,0
271934,0,0,0,0,26,1355.595434,0.00952387,0.02759692,7.507458678,0,Dec,2,2,6,1,Returning_Visitor,FALSE,0
347243,11,244.5,2,746.5,138,3724.976548,0.000945386,0.015263679,49.5372686,1,May,1,1,1,4,Returning_Visitor,TRUE,0
386540,0,0,0,0,4,0,0.2,0.2,0,0,May,2,2,3,1,Returning_Visitor,FALSE,0
356153,0,0,0,0,2,208.9,0,0.037141857,0,0,June,2,2,1,1,Returning_Visitor,FALSE,0
310596,0,0,0,0,1,0,0.2,0.2,0,0,Nov,2,10,7,1,Returning_Visitor,FALSE,0
398501,3,91,0,0,23,1476.5,0.00809,0.022429576,24.14435111,0,Nov,1,1,6,2,Returning_Visitor,FALSE,0
130967,7,158,0,0,25,270.75,0,0.010626306,0,0,Mar,3,2,4,3,Returning_Visitor,FALSE,0
299829,0,0,0,0,20,836.5,0,0.018750909,0,0,Dec,2,5,3,1,Returning_Visitor,FALSE,0
318294,2,151,5,443,13,1610,0.0122,0.02905,44.859605,0,Mar,3,7,1,1,Returning_Visitor,TRUE,1
445328,4,168.5,0,0,26,1944.5,0.013601705,0.05,0,0.6,May,3,2,1,11,Returning_Visitor,FALSE,0
184926,0,0,0,0,7,122,0,0.028571429,0,0,Dec,2,2,2,3,Returning_Visitor,FALSE,0
319771,0,0,0,0,4,181.5,0,0.05,0,0,Sep,3,2,8,6,Returning_Visitor,FALSE,0
460866,5,212.8333333,4,44.5,61,3725.389905,0.027777839,0.02739338,1.496439934,0,May,3,2,8,2,Returning_Visitor,FALSE,1
206495,0,0,0,0,1,1171.3,0,0.022222222,0,0,Nov,1,1,1,1,Returning_Visitor,TRUE,0
134426,3,317.5,0,0,79,506.9666667,0,0.009512079,11.8189861,0,Aug,2,2,4,2,Returning_Visitor,FALSE,1
297171,0,0,0,0,92,3415.818875,0.01,0.028822968,0,0,Nov,2,2,3,6,Returning_Visitor,TRUE,0
123975,0,0,0,0,9,58.875,0,0.022222222,0,0,May,4,2,1,1,Returning_Visitor,FALSE,0
376803,8,341.9241419,3,365,40,1794.234615,0.009697965,0.023484663,35.9075001,0,Aug,2,2,1,2,Returning_Visitor,FALSE,0
197495,3,56,0,0,21,836.15,0.023706671,0.054877476,0,0,May,1,1,2,4,Returning_Visitor,FALSE,0
269946,1,18,0,0,24,872.5,0.032952191,0.064180843,0,0,May,2,5,1,3,Returning_Visitor,FALSE,0
176291,1,45,0,0,2,145.25,0,0,0,0,May,2,2,3,4,Returning_Visitor,FALSE,0
227189,3,166.7,0,0,12,197.5,0,0.013333333,59.17015817,0,Oct,1,1,4,4,New_Visitor,FALSE,1
173316,0,0,1,8.75,11,187.5,0,0.018191429,0,0,Nov,2,2,1,11,Returning_Visitor,FALSE,0
164966,1,218.1333233,0,0,18,344.8333333,0,0.029747743,0,0.8,May,2,2,1,1,Returning_Visitor,FALSE,0
314064,3,79.5,0,0,61,916.26,0.012526311,0.046485926,0,0.2,May,2,2,1,6,Returning_Visitor,FALSE,0
267560,4,74.41666667,0,0,14,255.3666667,0.011511215,0.04280768,0,0,Mar,3,2,6,1,Returning_Visitor,FALSE,0
